2015-02-25T17:07:28.786-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, getPoliciesForAccount: nullpolicies/TCCX
2015-02-25T17:07:28.824-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, deletePolicyForAccount: hostUrl/policies/TCCD/12345/null?username=null
2015-02-25T17:07:28.835-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, getPoliciesForAccount: nullpolicies/TCCD
2015-02-25T17:07:28.838-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, updatePolicyForAccount: nullpolicies/TCCD
2015-02-25T17:07:28.841-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, deletePolicyForAccount: nullpolicies/TCCX/12345/null?username=null
2015-02-25T17:07:28.843-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, getPolicyForAccount: nullpolicies/TCCD/12345
2015-02-25T17:07:28.847-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, deletePolicyForAccount: nullpolicies/TCCX/12345/null?username=null
2015-02-25T17:07:28.850-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, updatePolicyForAccount: nullpolicies/TCCX
2015-02-25T17:07:28.853-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, getPolicyForAccount: nullpolicies/TCCX/12345
2015-02-25T17:07:28.855-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, createPolicyForAccount: nullpolicies/TCCD
2015-02-25T17:07:28.857-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, updatePolicyForAccount: nullpolicies/TCCX
2015-02-25T17:07:28.860-0600 llevel=INFO , lthread_id='main', lcat=PolicyClient, createPolicyForAccount: nullpolicies/TCCX
